"tcga_participant_barcode","gene","expression_log2","z.score","cohort","sample_type","protocol","geneID"
"TCGA-AR-A1AX","MTOR",11.2017487111,1.33834298665,"BRCA","TP","RSEM",2475
"TCGA-AR-A1AU","MTOR",11.0141009046,0.80731649888,"BRCA","TP","RSEM",2475
"TCGA-AR-A1AQ","MTOR",10.9887022944,0.740602728953,"BRCA","TP","RSEM",2475
"TCGA-AN-A0AT","MTOR",10.762465093,0.195430308156,"BRCA","TP","RSEM",2475
"TCGA-AO-A0JL","MTOR",9.61081077552,-1.57029919002,"BRCA","TP","RSEM",2475
"TCGA-AN-A0AJ","MTOR",10.2739480181,-0.726920903634,"BRCA","TP","RSEM",2475
"TCGA-AO-A0JJ","MTOR",10.1235942958,-0.953434768079,"BRCA","TP","RSEM",2475
"TCGA-AO-A0JG","MTOR",10.3329089527,-0.631447224091,"BRCA","TP","RSEM",2475
"TCGA-D8-A73X","MTOR",10.4326726974,-0.460745152573,"BRCA","TP","RSEM",2475
"TCGA-E9-A1RG","MTOR",9.75048558295,-1.4233723271,"BRCA","TP","RSEM",2475
"TCGA-A7-A4SF","MTOR",10.376909377,-0.557612611159,"BRCA","TP","RSEM",2475
"TCGA-BH-A0BF","MTOR",10.6936339202,0.0458277222116,"BRCA","TP","RSEM",2475
"TCGA-E9-A22G","MTOR",10.3889862571,-0.536950114134,"BRCA","TP","RSEM",2475
"TCGA-BH-A0DI","MTOR",11.0529727501,0.911721640224,"BRCA","TP","RSEM",2475
"TCGA-AR-A2LK","MTOR",10.8634042924,0.428139834691,"BRCA","TP","RSEM",2475
"TCGA-E9-A1NC","MTOR",9.34079545977,-1.81700029872,"BRCA","TP","RSEM",2475
"TCGA-AN-A0XP","MTOR",10.4719365014,-0.390257827558,"BRCA","TP","RSEM",2475
"TCGA-EW-A6SB","MTOR",9.99973158303,-1.12309668115,"BRCA","TP","RSEM",2475
"TCGA-OL-A6VO","MTOR",11.1899058317,1.30274819904,"BRCA","TP","RSEM",2475
"TCGA-S3-AA12","MTOR",10.8263798188,0.340885569619,"BRCA","TP","RSEM",2475
"TCGA-A2-A0YG","MTOR",11.4683542632,2.22208504016,"BRCA","TP","RSEM",2475
"TCGA-A2-A0YD","MTOR",10.6812385875,0.0196370612565,"BRCA","TP","RSEM",2475
"TCGA-A2-A0YH","MTOR",10.6095432451,-0.12751476573,"BRCA","TP","RSEM",2475
"TCGA-BH-A0B7","MTOR",11.4128822734,2.02451649122,"BRCA","TP","RSEM",2475
"TCGA-BH-A0B7","MTOR",10.9285717444,0.587263558186,"BRCA","NT","RSEM",2475
"TCGA-MS-A51U","MTOR",10.6882274881,0.0343765519053,"BRCA","TP","RSEM",2475
"TCGA-A8-A07O","MTOR",11.198004369,1.32705744314,"BRCA","TP","RSEM",2475
"TCGA-A8-A07L","MTOR",10.5258119614,-0.290363613265,"BRCA","TP","RSEM",2475
"TCGA-BH-A0B1","MTOR",10.535979345,-0.271089534594,"BRCA","TP","RSEM",2475
"TCGA-A8-A07R","MTOR",11.0632979321,0.939929953467,"BRCA","TP","RSEM",2475
"TCGA-A8-A07S","MTOR",10.6425276677,-0.0607231733933,"BRCA","TP","RSEM",2475
"TCGA-A8-A07P","MTOR",10.1965557776,-0.84646148718,"BRCA","TP","RSEM",2475
"TCGA-A8-A07W","MTOR",11.333934363,1.75611808775,"BRCA","TP","RSEM",2475
"TCGA-BH-A18G","MTOR",9.84156434773,-1.3196112078,"BRCA","TP","RSEM",2475
"TCGA-A8-A07U","MTOR",10.8759416723,0.458197400658,"BRCA","TP","RSEM",2475
"TCGA-A8-A07Z","MTOR",10.585735488,-0.174784024058,"BRCA","TP","RSEM",2475
"TCGA-AO-A03M","MTOR",11.5401038158,2.48915805959,"BRCA","TP","RSEM",2475
