"tcga_participant_barcode","gene","expression_log2","z.score","cohort","sample_type","protocol","geneID"
"TCGA-AC-A3TN","TP53","9.85682871099",-0.854679678424,"BRCA","TP","RSEM",7157
"TCGA-BH-A0B3","AKT3","8.80991440012",-0.303349213806,"BRCA","TP","RSEM",10000
"TCGA-BH-A0B3","AKT3","10.5956726978",1.13836635492,"BRCA","NT","RSEM",10000
"TCGA-BH-A0B3","AKT2","11.703829534",0.422006051094,"BRCA","TP","RSEM",208
"TCGA-BH-A0B3","AKT2","11.0799553163",-0.491718636584,"BRCA","NT","RSEM",208
"TCGA-BH-A0B3","AKT1","11.6180749498",-0.666673742185,"BRCA","NT","RSEM",207
"TCGA-BH-A0B3","AKT1","12.2763968628",0.21354442374,"BRCA","TP","RSEM",207
"TCGA-BH-A0B3","IKBKB","9.38289741029",-0.867814930874,"BRCA","TP","RSEM",3551
"TCGA-BH-A0B3","IKBKB","10.802934573",0.0603287167963,"BRCA","NT","RSEM",3551
"TCGA-BH-A0B3","MYCN","5.48921857538",-0.090063349483,"BRCA","TP","RSEM",4613
"TCGA-BH-A0B3","MYCN","5.92596619822",0.018484125561,"BRCA","NT","RSEM",4613
"TCGA-BH-A0B3","MYCL1","7.93626750158",0.0586733640232,"BRCA","TP","RSEM",4610
"TCGA-BH-A0B3","MYCL1","8.29913931699",0.295192002442,"BRCA","NT","RSEM",4610
"TCGA-BH-A0B3","MYC","10.5231039845",-0.435603699922,"BRCA","NT","RSEM",4609
"TCGA-BH-A0B3","MYC","10.8043499908",-0.28641663556,"BRCA","TP","RSEM",4609
"TCGA-BH-A0B3","PRKAA2","8.42558770348",-0.0332127632464,"BRCA","NT","RSEM",5563
"TCGA-BH-A0B3","PRKAA2","8.01545965676",-0.17705082441,"BRCA","TP","RSEM",5563
"TCGA-BH-A0B3","RB1","8.1167067989",-1.68819566054,"BRCA","TP","RSEM",5925
"TCGA-BH-A0B3","RB1","10.2975650444",0.160257684878,"BRCA","NT","RSEM",5925
"TCGA-BH-A0B3","STK11","10.2155107949",0.400503800611,"BRCA","TP","RSEM",6794
"TCGA-BH-A0B3","STK11","9.56492418262",-0.515943352348,"BRCA","NT","RSEM",6794
"TCGA-BH-A0B3","TP53","11.766219052",2.03680891871,"BRCA","TP","RSEM",7157
"TCGA-BH-A0B3","TP53","10.3712506453",-0.405278282258,"BRCA","NT","RSEM",7157
"TCGA-A7-A0CD","AKT3","8.22825929728",-0.498760399816,"BRCA","TP","RSEM",10000
"TCGA-A7-A0CD","AKT2","11.6898516422",0.396911375307,"BRCA","TP","RSEM",208
"TCGA-A7-A0CD","AKT1","11.3917952638",-0.887644827753,"BRCA","TP","RSEM",207
"TCGA-A7-A0CD","IKBKB","11.0503314312",0.337547861398,"BRCA","TP","RSEM",3551
"TCGA-A7-A0CD","MYCN","3.77301521206",-0.303643648978,"BRCA","TP","RSEM",4613
"TCGA-A7-A0CD","MYCL1","7.53810277526",-0.140788901527,"BRCA","TP","RSEM",4610
"TCGA-A7-A0CD","MYC","11.8453942732",0.604491482379,"BRCA","TP","RSEM",4609
"TCGA-A7-A0CD","PRKAA2","9.20640489083",0.384218644035,"BRCA","TP","RSEM",5563
"TCGA-A7-A0CD","RB1","10.2682790515",0.11260338837,"BRCA","TP","RSEM",5925
"TCGA-A7-A0CD","STK11","9.92276649338",-0.0631806593183,"BRCA","TP","RSEM",6794
"TCGA-A7-A0CD","TP53","10.0505293136",-0.703949431632,"BRCA","TP","RSEM",7157
"TCGA-AN-A0G0","AKT3","7.61103070091",-0.635738035492,"BRCA","TP","RSEM",10000
"TCGA-AN-A0G0","AKT2","11.0295790498",-0.549675237337,"BRCA","TP","RSEM",208
"TCGA-AN-A0G0","AKT1","13.0472711911",1.91039607099,"BRCA","TP","RSEM",207
